Rank,SMILES,Prediction,Predicted_Class,Probability_Active,Probability_Inactive
1,COC1=CC(CC2C(CC3=CC=C(OC)C(OC)=C3)COC2=O)=CC2=C1OC(C2CO)C1=CC(OC)=C(O)C=C1,1,Active,1.0,0.0
2,CCC(C)C(=O)C1=C(O)C(CC2=C(O)C(C)=C(CC)OC2=O)=C(O)C(CC2=C(O)C(C)=C(CC)OC2=O)=C1O,1,Active,0.98,0.020000000000000018
3,COC1=CC(CC2C(CC3=CC=C(O)C(OC)=C3)COC2=O)=CC2=C1OC(C2CO)C1=CC=C(O)C(OC)=C1,1,Active,0.96,0.040000000000000036
4,COC1=CC(CC2C(CC3=CC(C(CO)C(=O)C4=CC(OC)=C(O)C=C4)=C(O)C(OC)=C3)COC2=O)=CC=C1O,1,Active,0.96,0.040000000000000036
5,COC1=CC(C[C@H]2COC(=O)[C@@H]2CC2=CC=C(O)C(OC)=C2)=CC2=C1O[C@@H]([C@H]2CO)C1=CC(OC)=C(O)C=C1,1,Active,0.96,0.040000000000000036
6,COC1=CC(CC2COC(=O)C2CC2=CC=C(O)C(OC)=C2)=CC2=C1OC(C2CO)C1=CC=C(O)C(OC)=C1,1,Active,0.96,0.040000000000000036
7,COC1=CC(CC2C(CC3=CC=C(OC(CO)C(O)C4=CC=C(O)C(OC)=C4)C(OC)=C3)COC2=O)=CC=C1O,1,Active,0.96,0.040000000000000036
8,COC1=CC(CC2COC(=O)C2CC2=CC(C(CO)C(=O)C3=CC=C(O)C(OC)=C3)=C(O)C(OC)=C2)=CC=C1O,1,Active,0.96,0.040000000000000036
9,COC1=CC(CC2COC(=O)C2CC2=CC=C(OC(CO)C(O)C3=CC=C(O)C(OC)=C3)C(OC)=C2)=CC=C1O,1,Active,0.96,0.040000000000000036
10,[Mg++].COC(=O)CC(O)C1=C(C)\C2=C\C3=C(C=C)C(C)=C(N3)\C=C3/[N-]\C(=C/C4=N/C(=C\C1=N2)/C(CCC([O-])=O)=C4C)C(C)=C3C=C,1,Active,0.95,0.050000000000000044
11,CC(C)CC(NC(=O)C(CC1=CC=CC=C1)NC(=O)C(COCC1=CC=CC=C1)NC(=O)OC(C)(C)C)C(=O)OCC1=CC=CC=C1,1,Active,0.94,0.06000000000000005
12,COC1=CC(CC2C(CC3=CC(OC)=C(O)C(=C3)C(CO)C(O)C3=CC=C(O)C(OC)=C3)COC2=O)=CC=C1O,1,Active,0.94,0.06000000000000005
13,COC1=C(O)C=CC(CC2OCC(=O)[C@@H]2CC2=CC(OC)=C(O)C(=C2)C(CO)C(O)C2=CC(OC)=C(O)C=C2)=C1,1,Active,0.94,0.06000000000000005
14,COC1=CC(CC2COC(C2CO)C2=CC=C(OC(CO)C(O)C3=CC=C(O)C(OC)=C3)C(OC)=C2)=CC=C1O,1,Active,0.94,0.06000000000000005
